devid;created_at;Temperature;Pressure
DEV004;01.01.2024 00:00;-7.0;1011
DEV004;01.01.2024 03:00;-8.0;1013
DEV004;01.01.2024 06:00;-0.5;1003
DEV004;01.01.2024 09:00;-4.5;1016
DEV004;01.01.2024 12:00;2.0;996
DEV004;01.01.2024 15:00;2.5;1011
DEV004;01.01.2024 18:00;-4.5;1005
DEV004;01.01.2024 21:00;-5.0;1018
DEV005;01.01.2024 00:00;-6.5;1005
DEV005;01.01.2024 03:00;-9.5;994
DEV005;01.01.2024 06:00;-1.5;1010
DEV005;01.01.2024 09:00;-4.5;999
DEV005;01.01.2024 12:00;4.5;1008
DEV005;01.01.2024 15:00;1.5;998
DEV005;01.01.2024 18:00;-4.5;1007
DEV005;01.01.2024 21:00;-0.5;1022
DEV004;02.01.2024 00:00;-10.0;1007
DEV004;02.01.2024 03:00;-9.5;1011
DEV004;02.01.2024 06:00;-4.0;993
DEV004;02.01.2024 09:00;-1.5;1005
DEV004;02.01.2024 12:00;3.0;1006
DEV004;02.01.2024 15:00;1.0;1014
DEV004;02.01.2024 18:00;-5.5;1012
DEV004;02.01.2024 21:00;0.5;1022
DEV005;02.01.2024 00:00;-7.0;990
DEV005;02.01.2024 03:00;-9.0;1019
DEV005;02.01.2024 06:00;-0.5;1000
DEV005;02.01.2024 09:00;-3.5;995
DEV005;02.01.2024 12:00;3.0;993
DEV005;02.01.2024 15:00;1.0;999
DEV005;02.01.2024 18:00;-1.5;1004
DEV005;02.01.2024 21:00;-4.0;1020
DEV004;03.01.2024 00:00;-6.5;997
DEV004;03.01.2024 03:00;-7.0;1005
DEV004;03.01.2024 06:00;-5.5;1020
DEV004;03.01.2024 09:00;-2.0;998
DEV004;03.01.2024 12:00;3.5;1021
DEV004;03.01.2024 15:00;1.5;1004
DEV004;03.01.2024 18:00;-5.5;1009
DEV004;03.01.2024 21:00;-3.0;990
DEV005;03.01.2024 00:00;-7.0;1018
DEV005;03.01.2024 03:00;-6.5;997
DEV005;03.01.2024 06:00;-2.0;1000
DEV005;03.01.2024 09:00;-0.5;1020
DEV005;03.01.2024 12:00;3.0;1022
DEV005;03.01.2024 15:00;3.5;996
DEV005;03.01.2024 18:00;0.0;996
DEV005;03.01.2024 21:00;0.5;1019
DEV004;04.01.2024 00:00;-7.0;998
DEV004;04.01.2024 03:00;-8.5;1015
DEV004;04.01.2024 06:00;-3.5;1023
DEV004;04.01.2024 09:00;0.0;998
DEV004;04.01.2024 12:00;3.5;1008
DEV004;04.01.2024 15:00;3.5;1000
DEV004;04.01.2024 18:00;-5.0;1013
DEV004;04.01.2024 21:00;-3.0;995
DEV005;04.01.2024 00:00;-9.5;1021
DEV005;04.01.2024 03:00;-6.0;1013
DEV005;04.01.2024 06:00;-4.5;999
DEV005;04.01.2024 09:00;-3.0;999
DEV005;04.01.2024 12:00;4.5;997
DEV005;04.01.2024 15:00;4.0;1024
DEV005;04.01.2024 18:00;-3.5;1004
DEV005;04.01.2024 21:00;-4.0;1011
DEV004;05.01.2024 00:00;-8.5;1008
DEV004;05.01.2024 03:00;-10.0;994
DEV004;05.01.2024 06:00;-2.5;1021
DEV004;05.01.2024 09:00;0.0;1000
DEV004;05.01.2024 12:00;3.5;1022
DEV004;05.01.2024 15:00;2.5;998
DEV004;05.01.2024 18:00;-5.0;1011
DEV004;05.01.2024 21:00;-1.0;999
DEV005;05.01.2024 00:00;-6.5;999
DEV005;05.01.2024 03:00;-9.0;1001
DEV005;05.01.2024 06:00;-4.0;1020
DEV005;05.01.2024 09:00;-4.0;1002
DEV005;05.01.2024 12:00;1.0;1008
DEV005;05.01.2024 15:00;1.0;1018
DEV005;05.01.2024 18:00;-4.5;1015
DEV005;05.01.2024 21:00;0.5;1006
DEV004;06.01.2024 00:00;-9.0;993
DEV004;06.01.2024 03:00;-9.5;992
DEV004;06.01.2024 06:00;-5.5;999
DEV004;06.01.2024 09:00;-0.5;1004
DEV004;06.01.2024 12:00;4.5;1007
